subject,trial,condition,priming,accuracy
1,1,easy,high_freq,incorrect
1,2,easy,high_freq,incorrect
1,3,easy,high_freq,incorrect
1,4,easy,high_freq,correct
1,5,easy,high_freq,incorrect
1,6,easy,high_freq,correct
1,7,easy,high_freq,incorrect
1,8,easy,high_freq,incorrect
1,9,easy,high_freq,incorrect
1,10,easy,high_freq,incorrect
1,11,easy,high_freq,incorrect
1,12,easy,high_freq,correct
1,1,difficult,high_freq,correct
1,2,difficult,high_freq,correct
1,3,difficult,high_freq,correct
1,4,difficult,high_freq,incorrect
1,5,difficult,high_freq,incorrect
1,6,difficult,high_freq,incorrect
1,7,difficult,high_freq,correct
1,8,difficult,high_freq,incorrect
1,9,difficult,high_freq,incorrect
1,10,difficult,high_freq,incorrect
1,11,difficult,high_freq,correct
1,12,difficult,high_freq,incorrect
1,1,easy,low_freq,correct
1,2,easy,low_freq,incorrect
1,3,easy,low_freq,incorrect
1,4,easy,low_freq,correct
1,5,easy,low_freq,correct
1,6,easy,low_freq,correct
1,7,easy,low_freq,incorrect
1,8,easy,low_freq,incorrect
1,9,easy,low_freq,incorrect
1,10,easy,low_freq,correct
1,11,easy,low_freq,correct
1,12,easy,low_freq,incorrect
1,1,difficult,low_freq,incorrect
1,2,difficult,low_freq,correct
1,3,difficult,low_freq,incorrect
1,4,difficult,low_freq,incorrect
1,5,difficult,low_freq,incorrect
1,6,difficult,low_freq,correct
1,7,difficult,low_freq,incorrect
1,8,difficult,low_freq,incorrect
1,9,difficult,low_freq,incorrect
1,10,difficult,low_freq,incorrect
1,11,difficult,low_freq,correct
1,12,difficult,low_freq,correct
2,1,easy,high_freq,incorrect
2,2,easy,high_freq,correct
2,3,easy,high_freq,correct
2,4,easy,high_freq,correct
2,5,easy,high_freq,incorrect
2,6,easy,high_freq,incorrect
2,7,easy,high_freq,correct
2,8,easy,high_freq,incorrect
2,9,easy,high_freq,correct
2,10,easy,high_freq,correct
2,11,easy,high_freq,incorrect
2,12,easy,high_freq,incorrect
2,1,difficult,high_freq,incorrect
2,2,difficult,high_freq,incorrect
2,3,difficult,high_freq,incorrect
2,4,difficult,high_freq,incorrect
2,5,difficult,high_freq,incorrect
2,6,difficult,high_freq,correct
2,7,difficult,high_freq,correct
2,8,difficult,high_freq,correct
2,9,difficult,high_freq,correct
2,10,difficult,high_freq,correct
2,11,difficult,high_freq,incorrect
2,12,difficult,high_freq,correct
2,1,easy,low_freq,correct
2,2,easy,low_freq,correct
2,3,easy,low_freq,incorrect
2,4,easy,low_freq,correct
2,5,easy,low_freq,incorrect
2,6,easy,low_freq,correct
2,7,easy,low_freq,correct
2,8,easy,low_freq,correct
2,9,easy,low_freq,correct
2,10,easy,low_freq,incorrect
2,11,easy,low_freq,correct
2,12,easy,low_freq,correct
2,1,difficult,low_freq,correct
2,2,difficult,low_freq,correct
2,3,difficult,low_freq,correct
2,4,difficult,low_freq,correct
2,5,difficult,low_freq,correct
2,6,difficult,low_freq,correct
2,7,difficult,low_freq,incorrect
2,8,difficult,low_freq,incorrect
2,9,difficult,low_freq,incorrect
2,10,difficult,low_freq,correct
2,11,difficult,low_freq,incorrect
2,12,difficult,low_freq,correct
3,1,easy,high_freq,incorrect
3,2,easy,high_freq,correct
3,3,easy,high_freq,incorrect
3,4,easy,high_freq,correct
3,5,easy,high_freq,incorrect
3,6,easy,high_freq,correct
3,7,easy,high_freq,incorrect
3,8,easy,high_freq,correct
3,9,easy,high_freq,incorrect
3,10,easy,high_freq,incorrect
3,11,easy,high_freq,correct
3,12,easy,high_freq,correct
3,1,difficult,high_freq,incorrect
3,2,difficult,high_freq,incorrect
3,3,difficult,high_freq,correct
3,4,difficult,high_freq,incorrect
3,5,difficult,high_freq,correct
3,6,difficult,high_freq,incorrect
3,7,difficult,high_freq,incorrect
3,8,difficult,high_freq,correct
3,9,difficult,high_freq,correct
3,10,difficult,high_freq,correct
3,11,difficult,high_freq,incorrect
3,12,difficult,high_freq,correct
3,1,easy,low_freq,incorrect
3,2,easy,low_freq,incorrect
3,3,easy,low_freq,incorrect
3,4,easy,low_freq,correct
3,5,easy,low_freq,correct
3,6,easy,low_freq,correct
3,7,easy,low_freq,correct
3,8,easy,low_freq,incorrect
3,9,easy,low_freq,correct
3,10,easy,low_freq,incorrect
3,11,easy,low_freq,incorrect
3,12,easy,low_freq,correct
3,1,difficult,low_freq,correct
3,2,difficult,low_freq,correct
3,3,difficult,low_freq,incorrect
3,4,difficult,low_freq,correct
3,5,difficult,low_freq,incorrect
3,6,difficult,low_freq,correct
3,7,difficult,low_freq,correct
3,8,difficult,low_freq,correct
3,9,difficult,low_freq,correct
3,10,difficult,low_freq,correct
3,11,difficult,low_freq,incorrect
3,12,difficult,low_freq,incorrect
4,1,easy,high_freq,incorrect
