reponse,condition
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Same,Vowel
Same,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Same,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Same,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Same,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Same,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Same,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Same,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Different,Vowel
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Different,Consonant
Different,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Different,Consonant
Different,Consonant
Different,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Different,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Different,Consonant
Same,Consonant
Different,Consonant
Same,Consonant
Same,Consonant
Different,Consonant
Different,Consonant
Same,Consonant
Same,Consonant
Different,Consonant
Same,Consonant
Different,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Different,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
Same,Consonant
