book,word,value
1,proud,2
1,perfectly,3
1,thank,2
1,strange,-1
1,nonsense,-2
1,big,1
1,useful,2
1,no,-1
1,greatest,3
1,fear,-2
1,good,3
1,good,3
1,want,1
1,like,2
1,dull,-2
1,gray,-1
1,strange,-1
1,boring,-3
1,screaming,-2
1,kiss,2
1,good,3
1,missed,-2
1,backed,1
1,no,-1
1,hoping,2
1,help,2
1,strangely,-1
1,funny,4
1,stupid,-2
1,enraged,-2
1,struck,-1
1,silly,-1
1,yes,1
1,perfectly,3
1,free,1
1,important,2
1,good,3
1,forgotten,-1
1,uneasy,-2
1,yes,1
1,stopped,-1
1,dead,-3
1,fear,-2
1,better,2
1,disturb,-2
1,no,-1
1,stupid,-2
1,no,-1
1,worrying,-3
1,upset,-2
1,blame,-2
1,like,2
1,worried,-3
1,straight,1
1,sorry,-1
1,upset,-2
1,smile,2
1,sorry,-1
1,dear,2
1,upset,-2
1,rejoice,4
1,like,2
1,celebrating,3
1,happy,3
1,happy,3
1,hoping,2
1,improve,2
1,determined,2
1,nice,3
1,problems,-2
1,promised,1
1,celebrating,3
1,promise,1
1,no,-1
1,good,3
1,cleared,1
1,nervously,-2
1,dear,2
1,shocked,-2
1,angry,-3
1,no,-1
1,funny,4
1,funny,4
1,nasty,-3
1,yes,1
1,yes,1
1,agree,1
1,comforting,2
1,no,-1
1,kind,2
1,wrong,-2
1,uneasy,-2
1,no,-1
1,like,2
1,bright,1
1,sparkling,3
1,broken,-1
1,amuse,3
1,darkness,-1
1,smile,2
1,smiling,2
1,severe,-2
1,dear,2
1,celebrating,3
1,yes,1
1,celebrating,3
1,careful,2
1,no,-1
1,stupid,-2
1,blame,-2
1,celebrate,3
1,no,-1
1,careless,-2
1,hoping,2
1,fine,2
1,disappeared,-1
1,thankful,2
1,care,2
1,drop,-1
1,drop,-1
1,kind,2
1,sweet,2
1,fond,2
1,no,-1
1,thank,2
1,dear,2
1,like,2
1,nonsense,-2
1,confusing,-2
1,frightened,-2
1,exasperated,2
1,admiring,3
1,frightened,-2
1,noble,2
1,lucky,3
1,liked,2
1,disappeared,-1
1,stopped,-1
1,reached,1
1,anxious,-2
1,hard,-1
1,true,2
1,drop,-1
1,dead,-3
1,want,1
1,reached,1
1,kill,-3
1,kill,-3
1,no,-1
1,kill,-3
1,broke,-1
1,true,2
1,killed,-3
1,kill,-3
1,astounding,3
1,stop,-1
1,heaven,2
1,great,3
1,odd,-2
1,no,-1
1,yes,1
1,cried,-2
1,like,2
1,screaming,-2
